Model,Paper Accuracy,Table 2 Implementation,Difference from Paper (Table 2),Section 3.3 Implementation,Difference from Paper (Section 3.3),Closer to Paper
Logistic Regression,97.65,98.04878048780488,0.39878048780487063,98.04878048780488,0.39878048780487063,Tie
Decision Tree,94.31,94.14634146341463,0.16365853658537333,94.14634146341463,0.16365853658537333,Tie
Decision Tree with Hyperparameter Tuning,94.53,97.07317073170731,2.5431707317073062,96.09756097560975,1.5675609756097515,Section 3.3
Support Vector Classifier,97.65,98.04878048780488,0.39878048780487063,98.53658536585365,0.886585365853648,Table 2
Naïve Bayes,98.04,98.04878048780488,0.008780487804870063,98.04878048780488,0.008780487804870063,Tie
KNN,98.48,98.04878048780488,0.43121951219512766,98.53658536585365,0.056585365853649705,Section 3.3
Random Forest Classifier,96.48,98.53658536585365,2.0565853658536497,98.53658536585365,2.0565853658536497,Tie
Random Forest Classifier with Hyperparameter Tuning,98.43,99.02439024390245,0.5943902439024384,98.53658536585365,0.10658536585364686,Section 3.3
AdaBoost,97.26,98.04878048780488,0.7887804878048712,97.07317073170731,0.18682926829269775,Section 3.3
Gradient Boost,97.75,96.58536585365853,1.16463414634147,98.04878048780488,0.2987804878048763,Section 3.3
LGBM Classifier with Hyperparameter Tuning,96.09,97.5609756097561,1.4709756097560955,97.07317073170731,0.983170731707304,Section 3.3
XGBoost,97.27,97.5609756097561,0.2909756097561029,96.58536585365853,0.684634146341466,Table 2
Artificial Neural Network Classifier,96.54,98.04878048780488,1.50878048780487,98.04878048780488,1.50878048780487,Tie
