Model,Precision (Benign),Precision (Malignant),F1 Score (Benign),F1 Score (Malignant),Accuracy (%)
Logistic Regression,0.9767441860465116,0.9868421052631579,0.984375,0.974025974025974,98.04878048780488
Decision Tree,0.9323308270676691,0.9583333333333334,0.9538461538461539,0.92,94.14634146341463
Decision Tree with Hyperparameter Tuning,0.9612403100775194,0.9605263157894737,0.96875,0.948051948051948,96.09756097560975
Support Vector Classifier,0.984375,0.987012987012987,0.9882352941176471,0.9806451612903225,98.53658536585365
Naïve Bayes,0.992,0.9625,0.9841269841269841,0.9746835443037974,98.04878048780488
KNN,0.984375,0.987012987012987,0.9882352941176471,0.9806451612903225,98.53658536585365
Random Forest Classifier,0.984375,0.987012987012987,0.9882352941176471,0.9806451612903225,98.53658536585365
Random Forest Classifier with Hyperparameter Tuning,0.984375,0.987012987012987,0.9882352941176471,0.9806451612903225,98.53658536585365
AdaBoost,0.9618320610687023,0.9864864864864865,0.9767441860465116,0.9605263157894737,97.07317073170731
Gradient Boost,0.984251968503937,0.9743589743589743,0.984251968503937,0.9743589743589743,98.04878048780488
LGBM Classifier with Hyperparameter Tuning,0.9618320610687023,0.9864864864864865,0.9767441860465116,0.9605263157894737,97.07317073170731
XGBoost,0.9615384615384616,0.9733333333333334,0.9727626459143969,0.954248366013072,96.58536585365853
Artificial Neural Network Classifier,0.984251968503937,0.9743589743589743,0.984251968503937,0.9743589743589743,98.04878048780488
