Model,Precision (Benign),Precision (Malignant),F1 Score (Benign),F1 Score (Malignant),Accuracy (%)
Logistic Regression,0.9767441860465116,0.9868421052631579,0.984375,0.974025974025974,98.04878048780488
Decision Tree,0.9323308270676691,0.9583333333333334,0.9538461538461539,0.92,94.14634146341463
Decision Tree with Hyperparameter Tuning,0.984,0.95,0.9761904761904762,0.9620253164556962,97.07317073170731
Support Vector Classifier,0.984251968503937,0.9743589743589743,0.984251968503937,0.9743589743589743,98.04878048780488
Naïve Bayes,0.992,0.9625,0.9841269841269841,0.9746835443037974,98.04878048780488
KNN,0.9767441860465116,0.9868421052631579,0.984375,0.974025974025974,98.04878048780488
Random Forest Classifier,0.984375,0.987012987012987,0.9882352941176471,0.9806451612903225,98.53658536585365
Random Forest Classifier with Hyperparameter Tuning,0.9921259842519685,0.9871794871794872,0.9921259842519685,0.9871794871794872,99.02439024390245
AdaBoost,0.9767441860465116,0.9868421052631579,0.984375,0.974025974025974,98.04878048780488
Gradient Boost,0.9615384615384616,0.9733333333333334,0.9727626459143969,0.954248366013072,96.58536585365853
LGBM Classifier with Hyperparameter Tuning,0.9692307692307692,0.9866666666666667,0.980544747081712,0.9673202614379085,97.5609756097561
XGBoost,0.9692307692307692,0.9866666666666667,0.980544747081712,0.9673202614379085,97.5609756097561
Artificial Neural Network Classifier,0.984251968503937,0.9743589743589743,0.984251968503937,0.9743589743589743,98.04878048780488
